ARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,countries,products,elements,,,,2010A,2011A,2012A,2013A,2014A,2015A,2016A,2017A,2018A,2019A,2020A,2021A,2022A,2023A,2024A,2025A,2026A,2027A,2028A,2029A,2030A
AGO_PS_fo..pc,Angola,Pulses,Per-capita food consumption [kg/p/year],AGO,PS,FO..PC,7.286877763,7.539918411,7.353398714,7.40224188,10.51039162,10.46088504,10.41790685,10.38071606,10.34816956,10.31882671,10.30260602,10.28353031,10.24068163,10.20806593,10.14731099,10.08488738,10.01912831,9.946588266,9.871075226,9.789423778,9.704972935
AGO_PT_fo..pc,Angola,Poultry,Per-capita food consumption [kg/p/year],AGO,PT,FO..PC,10.57321736,12.08572459,12.54387207,12.8813802,14.08749718,8.840249344,8.010036866,9.66735263,10.80375916,9.683031285,9.714391309,9.773250799,9.82104212,9.857744484,9.869783925,9.865763911,9.844520307,9.810601099,9.765676459,9.708614536,9.641012894
AGO_RI_fo..pc,Angola,Rice,Per-capita food consumption [kg/p/year],AGO,RI,FO..PC,9.787116234,12.11186157,12.60939607,18.54076079,18.62947265,17.14023754,16.79146661,15.85139454,16.12896251,16.23637977,16.64422135,16.83358026,16.95394484,17.03898298,17.26912327,17.4869133,17.70396992,17.92646339,18.14887007,18.37330014,18.59357349
AGO_RT_fo..pc,Angola,Roots tubers,Per-capita food consumption [kg/p/year],AGO,RT,FO..PC,63.05497662,62.9622676,59.61073618,62.96013553,62.62762015,62.33262927,62.07653789,61.85493084,61.66099907,61.4861586,60.84048179,60.6513086,60.82381548,60.67095006,60.60192839,60.5370226,60.45984357,60.44309021,60.43365957,60.45800245,60.53606304
AGO_SH_fo..pc,Angola,Sheep,Per-capita food consumption [kg/p/year],AGO,SH,FO..PC,0.837759013,0.815622249,0.796962868,0.803301293,0.816973204,0.808372652,0.827706829,0.799853792,0.780848764,0.778606317,0.768236011,0.759121415,0.751544617,0.745987711,0.739472455,0.732845662,0.725767419,0.719059636,0.711996183,0.704667695,0.697221193
AGO_SU_fo..pc,Angola,Sugar,Per-capita food consumption [kg/p/year],AGO,SU,FO..PC,11.46812013,11.60266954,11.75479349,11.92384082,12.07260208,11.98881321,11.90415749,11.9526487,11.86058256,11.85998309,11.87934243,11.98746309,12.0986466,12.19844201,12.27576316,12.35870046,12.45687484,12.54209702,12.60954878,12.67564617,12.73475427
AGO_VL_fo..pc,Angola,Vegetable oils,Per-capita food consumption [kg/p/year],AGO,VL,FO..PC,4.04890976,5.292578844,7.865209966,6.060065677,6.822039309,5.606191936,5.600862363,5.790275966,5.56526015,5.336926924,5.885034782,5.86194897,5.839006675,5.826294183,5.796200674,5.757076653,5.71584657,5.670550962,5.620446948,5.565995778,5.506561826
AGO_WT_fo..pc,Angola,Wheat,Per-capita food consumption [kg/p/year],AGO,WT,FO..PC,21.93064017,21.0747421,20.86375766,20.73920886,20.91345608,17.37433886,20.04948181,21.45433292,21.13783275,21.39201194,21.38899597,21.44816546,21.4911761,21.5183604,21.54510983,21.56679145,21.58238193,21.59396554,21.59979826,21.59862538,21.59188382
ALB_BT_fo..pc,Albania,Butter,Per-capita food consumption [kg/p/year],ALB,BT,FO..PC,1.081711635,1.117998398,1.218819312,1.294288605,1.567392269,1.568747082,1.566115908,1.560309967,1.557067051,1.554913047,1.590410659,1.595733145,1.602181186,1.609791244,1.617618252,1.626486497,1.635474832,1.644769934,1.654310772,1.663926899,1.673590223
ALB_BV_fo..pc,Albania,Beef and Veal,Per-capita food consumption [kg/p/year],ALB,BV,FO..PC,10.79664382,10.58445848,10.58831726,10.70655541,9.806507163,9.938659284,10.17510597,10.10706821,10.01133794,10.21975023,10.29443084,10.35819662,10.44412038,10.5180409,10.58348827,10.64273828,10.69602261,10.75165577,10.81360737,10.87772788,10.94503365
