"country_id","iso3","country","eu27"
222,"TUN","Tunisia",FALSE
223,"TUR","Turkey",FALSE
225,"ARE","United Arab Emirates",FALSE
226,"UGA","Uganda",FALSE
228,"USR","USSR",FALSE
229,"GBR","United Kingdom",FALSE
230,"UKR","Ukraine",FALSE
231,"USA","United States",FALSE
233,"BFA","Burkina Faso",FALSE
234,"URY","Uruguay",FALSE
235,"UZB","Uzbekistan",FALSE
236,"VEN","Venezuela",FALSE
237,"VNM","Vietnam",FALSE
238,"ETH","Ethiopia",FALSE
244,"WSM","Samoa",FALSE
248,"YUG","Yugoslav SFR",FALSE
249,"YEM","Yemen",FALSE
250,"COD","Congo - Kinshasa",FALSE
251,"ZMB","Zambia",FALSE
255,"BEL","Belgium",TRUE
256,"LUX","Luxembourg",TRUE
272,"SRB","Serbia",FALSE
273,"MNE","Montenegro",FALSE
299,"PSE","Palestinian Territories",FALSE
