ARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OUTPUT,0",countries,products,elements,,,,2010A,2011A,2012A,2013A,2014A,2015A,2016A,2017A,2018A,2019A,2020A,2021A,2022A,2023A,2024A,2025A,2026A,2027A,2028A,2029A,2030A
ALB_BV_fo..pc,Albania,Beef and Veal,Per-capita food consumption [kg/p/year],ALB,BV,FO..PC,10.79664382,10.58445848,10.58831726,10.70655541,9.806507163,9.938659284,10.17510597,10.10706821,10.01133794,10.21975023,10.29626791,10.3548583,10.43558604,10.50656859,10.56946575,10.6263275,10.67672331,10.72906164,10.78761877,10.84809449,10.91290006
ALB_EG_fo..pc,Albania,Eggs,Per-capita food consumption [kg/p/year],ALB,EG,FO..PC,7.699518199,8.186382673,14.4851361,13.72445824,13.9298504,15.23260193,15.37950246,14.75987419,15.13929995,15.48630386,15.79979539,16.10628481,16.43436887,16.76441206,17.11846866,17.47933972,17.85267114,18.23391168,18.63085236,19.03806047,19.45523015
ALB_FH_fo..pc,Albania,Fish,Per-capita food consumption [kg/p/year],ALB,FH,FO..PC,6.140573377,6.25142332,7.690307088,7.646961252,7.48810713,8.275511984,8.613973187,9.607195229,10.45691024,10.21861553,11.22939969,11.17177798,11.35197802,11.52383087,11.65723924,11.7660522,11.83453302,11.95076186,12.08103885,12.20784792,12.32924884
ALB_MA_fo..pc,Albania,Maize,Per-capita food consumption [kg/p/year],ALB,MA,FO..PC,7.141582098,7.175417588,7.191684615,7.194298759,7.189872791,7.183534393,7.176180247,7.166778064,7.156578697,7.14667848,7.210178177,7.260250884,7.313028996,7.364366561,7.415748366,7.466758549,7.517261239,7.567379685,7.617507033,7.667368637,7.717478474
ALB_MK_fo..pc,Albania,Milk,Per-capita food consumption [kg/p/year],ALB,MK,FO..PC,34.12018815,35.35073238,35.17967095,35.74984405,35.13188062,35.22914631,35.84476996,36.09780977,36.36711911,36.70968609,36.99243342,37.24528632,37.52456724,37.83658865,38.16915336,38.51746348,38.87910919,39.25858909,39.66104372,40.07747908,40.51103036
ALB_OCG_fo..pc,Albania,Other Coarse Grains,Per-capita food consumption [kg/p/year],ALB,OCG,FO..PC,0.000183641,0.000184511,0.000184929,0.000184996,0.000184882,0.000184719,0.00018453,0.000184289,0.000184026,0.000183772,0.000184123,0.000184766,0.000185564,0.000186227,0.000187057,0.000187902,0.000188757,0.000189633,0.000190516,0.000191405,0.000192299
ALB_OOS_fo..pc,Albania,Other Oilseeds,Per-capita food consumption [kg/p/year],ALB,OOS,FO..PC,0.102199441,0.102683643,0.102916431,0.102953841,0.102890503,0.102799798,0.102694557,0.102560007,0.102414049,0.102272372,0.103619096,0.104749664,0.106069374,0.107470366,0.108816913,0.110209923,0.111635321,0.113107587,0.114598844,0.116116728,0.117662804
ALB_PK_fo..pc,Albania,Pork,Per-capita food consumption [kg/p/year],ALB,PK,FO..PC,7.440304274,7.536785285,7.467845304,7.649800646,6.473898411,6.349697087,6.070638422,6.592343739,6.98345765,6.643007806,6.587594833,6.630591306,6.658272995,6.682698209,6.712009639,6.736517539,6.76273496,6.789110283,6.815569269,6.846715949,6.877335269
ALB_PS_fo..pc,Albania,Pulses,Per-capita food consumption [kg/p/year],ALB,PS,FO..PC,5.351085443,5.434524606,5.830401455,5.855474019,6.454082703,6.691147373,6.934530198,7.183269461,7.438620683,7.70185399,7.774687268,7.868083826,7.9563278,8.046949361,8.137564949,8.228662774,8.319384957,8.410907675,8.501869223,8.59264529,8.683831955
ALB_PT_fo..pc,Albania,Poultry,Per-capita food consumption [kg/p/year],ALB,PT,FO..PC,14.1807335,13.01907767,13.18513183,12.96299583,12.28821159,11.94457575,12.868839,12.52486611,12.46440864,13.44657766,13.82863704,14.15191754,14.48655966,14.85744939,15.23807773,15.63605458,16.0451577,16.46384334,16.90133969,17.34960509,17.81150552
ALB_RI_fo..pc,Albania,Rice,Per-capita food consumption [kg/p/year],ALB,RI,FO..PC,7.039559496,6.628719105,6.780731208,6.885971669,7.173438796,7.628229379,7.825453698,8.002902172,8.114197084,7.997473537,8.081348367,8.169000451,8.259664738,8.346001644,8.433487504,8.523142681,8.613323685,8.70497566,8.798345134,8.89367093,8.989047247
