"country","iso3","sex_id","age_id","cause","DALY2030","DALY2030_all","deltaDALY2030_all_hr","DALY2030_all_hr"
"Afghanistan","AFG",1,18,976,6729.20759127777,31.2334200198718,0.00115654149812373,31.23457656137
"Afghanistan","AFG",1,19,429,34.7641857064211,0.0636829058473137,3.54670382678433e-07,0.0636832605176963
"Afghanistan","AFG",1,19,441,1293.64523451568,14.9799795025567,0.000229387446373535,14.9802088900031
"Afghanistan","AFG",1,19,493,17063.8666915635,16.8600122415624,0.000174567898535785,16.8601868094609
"Afghanistan","AFG",1,19,495,6660.62264435868,19.5110225398832,0.000468443220859021,19.5114909831041
"Afghanistan","AFG",1,19,496,0,0,0,0
"Afghanistan","AFG",1,19,497,0,0,0,0
"Afghanistan","AFG",1,19,976,7248.6650844437,38.3095854245591,0.00109966224611272,38.3106850868052
"Afghanistan","AFG",1,20,429,30.8720249902132,0.0624231936379642,8.74897129906715e-07,0.0624240685350941
"Afghanistan","AFG",1,20,441,957.815730135362,10.6785089852299,0.000243565480100068,10.67875255071
"Afghanistan","AFG",1,20,493,18000.2628274007,16.0249859803607,0.000287547821952546,16.0252735281827
"Afghanistan","AFG",1,20,495,7837.14797855493,31.1297208485764,0.00065963833592925,31.1303804869123
"Afghanistan","AFG",1,20,496,562.310004076985,1.37613271682012,3.79518832299458e-05,1.37617066870335
"Afghanistan","AFG",1,20,497,0,0,0,0
"Afghanistan","AFG",1,20,976,5410.05099019462,31.8188699331387,0.001115086862052,31.8199850200007
"Afghanistan","AFG",1,30,429,18.3832166257361,0.0422042008714011,0,0.0422042008714011
"Afghanistan","AFG",1,30,441,577.892647985497,6.34456093575899,0,6.34456093575899
"Afghanistan","AFG",1,30,493,17061.4829867763,15.4641613233537,0.000273039900522507,15.4644343632542
"Afghanistan","AFG",1,30,495,7374.86850921539,32.363593429914,0,32.363593429914
"Afghanistan","AFG",1,30,496,1153.30221966964,3.78237477585944,0,3.78237477585944
"Afghanistan","AFG",1,30,497,135.115375390359,0.443124949376812,0,0.443124949376812
"Afghanistan","AFG",1,30,976,3416.21894874199,22.7692512839642,0.000170425824806007,22.769421709789
"Afghanistan","AFG",1,31,429,13.5920508727213,0.0316113821718736,1.37907956618e-06,0.0316127612514398
"Afghanistan","AFG",1,31,441,257.242016593082,2.75232646748276,0.000139064586952175,2.75246553206971
"Afghanistan","AFG",1,31,493,10690.553047705,9.7849046915396,0.000651443197626205,9.78555613473722
"Afghanistan","AFG",1,31,495,4469.13634901501,19.7772466844114,0.000974914001657555,19.7782215984131
"Afghanistan","AFG",1,31,496,913.585395644472,3.17333815330586,0.000172485965303564,3.17351063927117
"Afghanistan","AFG",1,31,497,114.564962637173,0.397941307623617,2.16299956902217e-05,0.397962937619307
"Afghanistan","AFG",1,31,976,1507.3681310792,10.2134427173843,0.000614934485472693,10.2140576518698
"Afghanistan","AFG",1,32,429,3.93622071442048,0.00797812516070529,6.14503751939721e-08,0.00797818661108049
"Afghanistan","AFG",1,32,441,58.6318581533298,0.645073144851659,1.07262557217617e-05,0.645083871107381
"Afghanistan","AFG",1,32,493,3424.12196146842,3.01424790103239,3.51915453205586e-05,3.01428309257771
"Afghanistan","AFG",1,32,495,1320.35503146946,5.24091191357288,7.86745897652278e-05,5.24099058816265
"Afghanistan","AFG",1,32,496,250.184225338117,0.626769987166879,1.34978538035149e-05,0.626783485020682
"Afghanistan","AFG",1,32,497,40.6664424030941,0.101878947598166,2.19402199928547e-06,0.101881141620166
"Afghanistan","AFG",1,32,976,405.803215878548,2.3904157036872,6.96383291268222e-05,2.39048534201633
"Afghanistan","AFG",2,5,429,0,0,0,0
"Afghanistan","AFG",2,5,441,0,0,0,0
"Afghanistan","AFG",2,5,493,0,0,0,0
"Afghanistan","AFG",2,5,495,96.3862746995905,0,0,0
"Afghanistan","AFG",2,5,496,0,0,0,0
"Afghanistan","AFG",2,5,497,0,0,0,0
"Afghanistan","AFG",2,5,976,0,0,0,0
"Afghanistan","AFG",2,6,429,0,0,0,0
"Afghanistan","AFG",2,6,441,58.4731095135404,0,0,0
