,countries,products,elements,country_codes,,product_codes,,ele_codes,,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021,_2022,_2023,_2024,_2025,_2026,_2027,_2028,_2029,_2030
AGO_MA_FO..PC,Angola,Maize and products,Per-capita food consumption [kg/p/d],7,AGO,1,MA,211,FO..PC,43.11997945,43.45151939,43.37690142,43.35084297,43.41467627,43.20221493,42.69375504,42.27133789,42.35219748,42.01522894,41.93151943,41.81335512,41.7160167,41.61559829,41.52223641,41.42952158,41.33157906,41.23528041,41.1405191,41.04401874,40.95054272
AGO_MK_FO..PC,Angola,Milk and Dairy,Per-capita food consumption [kg/p/d],7,AGO,18,MK,211,FO..PC,1.691038934,1.672582653,1.67041222,1.599085081,1.524101057,1.520559689,1.44444127,1.448847865,1.389274343,1.340267096,1.342026475,1.336740291,1.335090264,1.335707486,1.33589116,1.336656317,1.337495858,1.338851359,1.340592487,1.342642768,1.345114685
AGO_OCG_FO..PC,Angola,Other Coarse Grains,Per-capita food consumption [kg/p/d],7,AGO,3,OCG,211,FO..PC,2.710022028,2.670618594,2.647662001,2.627330028,2.647546374,2.6001318,2.532617351,2.523775936,2.639077695,2.485415455,2.471148305,2.456934838,2.442387008,2.427249869,2.412697122,2.398056376,2.383867358,2.370095437,2.356360855,2.342729826,2.329034034
AGO_OOS_FO..PC,Angola,Other Oilseeds,Per-capita food consumption [kg/p/d],7,AGO,10,OOS,211,FO..PC,0.511889981,0.494243744,0.519263977,0.476924152,0.47454135,0.485095159,0.464896576,0.453783311,0.424386875,0.412486237,0.409816698,0.406076873,0.403039029,0.399771335,0.396264909,0.392752289,0.389195488,0.385641739,0.382016783,0.378373736,0.374699908
AGO_PK_FO..PC,Angola,Ovine,Per-capita food consumption [kg/p/d],7,AGO,16,PK,211,FO..PC,5.071541298,5.491352457,5.8943154,5.946971077,6.316158993,5.803103499,5.769187743,5.884960731,5.722336803,5.533401116,5.602984141,5.634524662,5.654317012,5.677774979,5.699901536,5.724480479,5.749409554,5.77462564,5.794970362,5.823756607,5.847015445
AGO_PS_FO..PC,Angola,Pork,Per-capita food consumption [kg/p/d],7,AGO,6,PS,211,FO..PC,9.721361673,9.903978475,9.992261729,10.07634649,10.74671792,10.63028226,10.61801567,10.48959222,10.38361689,10.28372041,10.28916902,10.27428827,10.24088926,10.21021894,10.16143344,10.11314905,10.06372084,10.00965256,9.954875589,9.896310412,9.837418526
AGO_PT_FO..PC,Angola,Poultry,Per-capita food consumption [kg/p/d],7,AGO,17,PT,211,FO..PC,8.653641503,10.42983387,10.81669069,10.47190013,11.10495396,10.13783119,9.694268864,10.2607437,10.34192776,10.13565115,10.23810591,10.32679669,10.40029558,10.46114482,10.51454072,10.55493367,10.58105786,10.59772277,10.60675698,10.60695164,10.60005365
AGO_RI_FO..PC,Angola,Pulses,Per-capita food consumption [kg/p/d],7,AGO,4,RI,211,FO..PC,14.49365735,14.93319918,15.15783095,15.49897544,15.5400471,15.6261683,15.96932182,16.03736398,16.11675704,16.24868515,16.65884186,16.82193823,16.91423834,16.96855438,17.17175645,17.36507407,17.56021855,17.76337812,17.96936097,18.1805875,18.39128908
AGO_RT_FO..PC,Angola,Rice and products,Per-capita food consumption [kg/p/d],7,AGO,5,RT,211,FO..PC,53.95852037,52.72402896,66.96261419,67.27069559,69.07990033,68.07536053,66.08610503,63.23623112,62.10485469,61.04984302,60.67780776,60.42181035,60.52479909,60.29405494,60.20022751,60.12033556,60.03847675,60.02694377,60.03413338,60.08759145,60.20838165
AGO_SB_FO..PC,Angola,Roots and Tubers,Per-capita food consumption [kg/p/d],7,AGO,9,SB,211,FO..PC,0.145474815,0.140372482,0.135463804,0.130762965,0.126283843,0.122028171,0.117987207,0.114141752,0.110469791,0.106948105,0.103560433,0.100300095,0.097164479,0.094148623,0.091248489,0.088459881,0.085777991,0.083198117,0.080716431,0.078329318,0.076033249
AGO_SH_FO..PC,Angola,Soybeans,Per-capita food consumption [kg/p/d],7,AGO,15,SH,211,FO..PC,0.70458121,0.71432694,0.711767876,0.67277765,0.633516111,0.791150684,0.79162391,0.810384561,0.790987284,0.768752789,0.766401182,0.761155455,0.757972268,0.754462317,0.750770444,0.747154707,0.743266804,0.739947974,0.736460693,0.732902798,0.729432003
AGO_SU_FO..PC,Angola,Sugar,Per-capita food consumption [kg/p/d],7,AGO,7,SU,211,FO..PC,9.908766414,10.01927235,10.73592056,10.53992488,11.6125156,11.05346661,11.39932573,11.78209952,11.79699568,11.92425591,12.05094083,12.20550593,12.37084978,12.51025179,12.64916612,12.79927441,12.97100816,13.13542424,13.2876803,13.44533032,13.60282915
AGO_VL_FO..PC,Angola,Vegetable Oils,Per-capita food consumption [kg/p/d],7,AGO,12,VL,211,FO..PC,5.3501517,5.621485277,5.659258716,5.562251461,5.950110676,5.703550941,5.685433008,5.568143618,5.492322627,5.408754673,5.47367723,5.477069585,5.48321734,5.493113098,5.493105954,5.486437981,5.479656211,5.47086978,5.459368005,5.445593599,5.428907785
AGO_WT_FO..PC,Angola,Wheat and products,Per-capita food consumption [kg/p/d],7,AGO,2,WT,211,FO..PC,20.60373406,20.80296411,20.97181801,21.74942354,21.62070301,21.68028449,22.03810994,22.09394754,21.40198977,21.13119721,21.13499698,21.16558736,21.18483918,21.19091096,21.20746926,21.22382496,21.23913818,21.25555078,21.27176678,21.28700643,21.30311715
ALB_BT_FO..PC,Albania,Bovine,Per-capita food consumption [kg/p/d],3,ALB,19,BT,211,FO..PC,1.645948419,1.768659907,1.481874686,1.57468765,1.806748401,1.371870371,1.509289187,1.783733097,1.493819048,1.623658423,1.646940694,1.638348162,1.630787227,1.624335393,1.616925256,1.610269571,1.60344985,1.596710688,1.590016055,1.583241304,1.57639047
ALB_BV_FO..PC,Albania,Butter,Per-capita food consumption [kg/p/d],3,ALB,14,BV,211,FO..PC,10.80686209,10.68166148,9.123391391,8.186588769,9.326609144,10.57971841,9.944892712,9.55482938,9.914482831,10.32057245,10.32143607,10.30934583,10.31894929,10.31620627,10.29963826,10.27576437,10.24499997,10.21561984,10.19146042,10.16869652,10.14836973
ALB_CN_FO..PC,Albania,Coconuts,Per-capita food consumption [kg/p/d],3,ALB,11,CN,211,FO..PC,0.340075338,0.341686552,0.342461172,0.342585655,0.342374895,0.342073066,0.341722869,0.341275146,0.340789462,0.340318023,0.339900906,0.339581179,0.3393811,0.339288863,0.339277931,0.339329058,0.339448855,0.339656844,0.339960996,0.340372122,0.340899141
ALB_EG_FO..PC,Albania,Eggs,Per-capita food consumption [kg/p/d],3,ALB,20,EG,211,FO..PC,12.72086234,12.44266725,15.75927369,15.69427865,15.76686599,15.82875579,14.96838668,14.79967483,15.14439337,15.4810972,15.6833132,15.86334024,16.06290114,16.2601315,16.46574553,16.67098368,16.8816152,17.09375041,17.3139241,17.53786763,17.76759983
ALB_FH_FO..PC,Albania,Fish,Per-capita food consumption [kg/p/d],3,ALB,21,FH,211,FO..PC,10.68280675,10.52145321,10.7505021,10.72359128,11.02509226,10.09913174,9.669672246,10.2513827,10.36851437,10.30648254,10.53558589,10.28818899,10.27418924,10.25320287,10.1907337,10.10315714,9.979248251,9.894638347,9.826460848,9.757324296,9.671128274
ALB_HFCS_FO..PC,Albania,HFCS,Per-capita food consumption [kg/p/d],3,ALB,8,HFCS,211,FO..PC,3.06068E-05,3.07518E-05,3.08215E-05,3.08327E-05,3.08137E-05,3.07866E-05,3.07551E-05,3.07148E-05,3.06711E-05,3.06286E-05,3.05911E-05,3.05623E-05,3.05443E-05,3.0536E-05,3.0535E-05,3.05396E-05,3.05504E-05,3.05691E-05,3.05965E-05,3.06335E-05,3.06809E-05
