"","iso3","country","nutrient","units","scenario","year","intake_orig","intake","intake_diff","intake_diff_cap"
"87","ARM","Armenia","Iron","mg/p/d","Base",2030,54.550898759,54.550898759,0,0
"88","ARM","Armenia","Iron","mg/p/d","High",2030,54.442483866,54.442483866,0,0
"89","ARM","Armenia","Omega-3 fatty acids","g/p/d","Base",2030,1.288532276,1.288532276,0,0
"90","ARM","Armenia","Omega-3 fatty acids","g/p/d","High",2030,1.295176333,1.295176333,0,0
"91","ARM","Armenia","Protein","g/p/d","Base",2030,230.901270421,230.901270421,0,0
"92","ARM","Armenia","Protein","g/p/d","High",2030,230.12879836,230.12879836,0,0
"93","ARM","Armenia","Vitamin A","mg/p/d retinol","Base",2030,3450.212416028,3450.212416028,0,0
"94","ARM","Armenia","Vitamin A","mg/p/d retinol","High",2030,3438.809339605,3438.809339605,0,0
"95","ARM","Armenia","Vitamin B12","ug/p/d","Base",2030,27.637673363,27.637673363,0,0
"96","ARM","Armenia","Vitamin B12","ug/p/d","High",2030,27.540063699,27.540063699,0,0
"97","ARM","Armenia","Zinc","mg/p/d","Base",2030,28.416998756,28.416998756,0,0
"98","ARM","Armenia","Zinc","mg/p/d","High",2030,28.283771897,28.283771897,0,0
"99","AUS","Australia","Calcium","mg/p/d","Base",2030,1645.988379585,1645.988379585,0,0
"100","AUS","Australia","Calcium","mg/p/d","High",2030,1646.536307798,1646.536307798,0,0
"101","AUS","Australia","Iron","mg/p/d","Base",2030,40.149684102,40.149684102,0,0
"102","AUS","Australia","Iron","mg/p/d","High",2030,40.141669517,40.141669517,0,0
"103","AUS","Australia","Omega-3 fatty acids","g/p/d","Base",2030,1.644012803,1.644012803,0,0
"104","AUS","Australia","Omega-3 fatty acids","g/p/d","High",2030,1.653818528,1.653818528,0,0
"105","AUS","Australia","Protein","g/p/d","Base",2030,213.177305585,213.177305585,0,0
"106","AUS","Australia","Protein","g/p/d","High",2030,213.474426578,213.474426578,0,0
"107","AUS","Australia","Vitamin A","mg/p/d retinol","Base",2030,3163.113948449,3163.113948449,0,0
"108","AUS","Australia","Vitamin A","mg/p/d retinol","High",2030,3158.426007548,3158.426007548,0,0
"109","AUS","Australia","Vitamin B12","ug/p/d","Base",2030,30.934221278,30.934221278,0,0
"110","AUS","Australia","Vitamin B12","ug/p/d","High",2030,30.999019162,30.999019162,0,0
"111","AUS","Australia","Zinc","mg/p/d","Base",2030,25.934275694,25.934275694,0,0
"112","AUS","Australia","Zinc","mg/p/d","High",2030,25.91332618,25.91332618,0,0
"113","AUT","Austria","Calcium","mg/p/d","Base",2030,0,0,0,0
"114","AUT","Austria","Calcium","mg/p/d","High",2030,0,0,0,0
"115","AUT","Austria","Iron","mg/p/d","Base",2030,0,0,0,0
"116","AUT","Austria","Iron","mg/p/d","High",2030,0,0,0,0
"117","AUT","Austria","Omega-3 fatty acids","g/p/d","Base",2030,0,0,0,0
"118","AUT","Austria","Omega-3 fatty acids","g/p/d","High",2030,0,0,0,0
"119","AUT","Austria","Protein","g/p/d","Base",2030,0,0,0,0
"120","AUT","Austria","Protein","g/p/d","High",2030,0,0,0,0
"121","AUT","Austria","Vitamin A","mg/p/d retinol","Base",2030,0,0,0,0
"122","AUT","Austria","Vitamin A","mg/p/d retinol","High",2030,0,0,0,0
"123","AUT","Austria","Vitamin B12","ug/p/d","Base",2030,0,0,0,0
