"iso3c","year","units","scenario","nutrient","nutrient_supply_dis","nutrient_supply"
"AFG","2023","g/p/d","high","Omega-3 fatty acids",0.17281036963681,0.167096806
"AFG","2023","g/p/d","high","Protein",107.054774858475,107.128639473
"AFG","2023","mg/p/d","base","Calcium",658.859168287342,658.770109596
"AFG","2023","mg/p/d","base","Iron",38.6587364099574,38.658056903
"AFG","2023","mg/p/d","base","Zinc",9.88821372459605,9.881956581
"AFG","2023","mg/p/d","high","Calcium",659.369199379465,659.287171157
"AFG","2023","mg/p/d","high","Iron",38.6817424460876,38.681263081
"AFG","2023","mg/p/d","high","Zinc",9.89583903658934,9.889584337
"AFG","2023","mg/p/d retinol","base","Vitamin A",407.644024541362,407.742709205
"AFG","2023","mg/p/d retinol","high","Vitamin A",407.99314529678,408.097587837
"AFG","2023","ug/p/d","base","Vitamin B12",4.06581831215384,4.060093471
"AFG","2023","ug/p/d","high","Vitamin B12",4.07027127260358,4.064748544
"AFG","2024","g/p/d","base","Omega-3 fatty acids",0.174362292052106,0.168720596
"AFG","2024","g/p/d","base","Protein",106.958429895092,107.030733484
"AFG","2024","g/p/d","high","Omega-3 fatty acids",0.174254402338481,0.16861683
"AFG","2024","g/p/d","high","Protein",107.044717630471,107.119438137
"AFG","2024","mg/p/d","base","Calcium",662.394889372792,662.311681197
"AFG","2024","mg/p/d","base","Iron",38.6161284273072,38.6155919
"AFG","2024","mg/p/d","base","Zinc",9.88650272637109,9.880326701
"AFG","2024","mg/p/d","high","Calcium",662.944797531037,662.870294358
"AFG","2024","mg/p/d","high","Iron",38.6420917988551,38.64180264
"AFG","2024","mg/p/d","high","Zinc",9.89487501809741,9.888703507
"AFG","2024","mg/p/d retinol","base","Vitamin A",409.686354155848,409.787650391
"AFG","2024","mg/p/d retinol","high","Vitamin A",410.070265870553,410.178650388
"AFG","2024","ug/p/d","base","Vitamin B12",4.08121318129496,4.075696728
"AFG","2024","ug/p/d","high","Vitamin B12",4.08606015284017,4.080794708
"AFG","2025","g/p/d","base","Omega-3 fatty acids",0.175699932769763,0.170129954
"AFG","2025","g/p/d","base","Protein",106.980877861274,107.053625807
"AFG","2025","g/p/d","high","Omega-3 fatty acids",0.1755909670011,0.170027081
"AFG","2025","g/p/d","high","Protein",107.07442602715,107.150056522
"AFG","2025","mg/p/d","base","Calcium",666.227828007305,666.150449756
"AFG","2025","mg/p/d","base","Iron",38.5894860042038,38.589092645
"AFG","2025","mg/p/d","base","Zinc",9.88822455169045,9.882127036
"AFG","2025","mg/p/d","high","Calcium",666.817545672152,666.7506195
"AFG","2025","mg/p/d","high","Iron",38.6177039239158,38.617607207
"AFG","2025","mg/p/d","high","Zinc",9.89726042587104,9.89116958
"AFG","2025","mg/p/d retinol","base","Vitamin A",411.915372753359,412.019335403
"AFG","2025","mg/p/d retinol","high","Vitamin A",412.331032131544,412.443471224
"AFG","2025","ug/p/d","base","Vitamin B12",4.09847062433517,4.093160644
"AFG","2025","ug/p/d","high","Vitamin B12",4.10371412395937,4.098706164
"AFG","2026","g/p/d","base","Omega-3 fatty acids",0.177073737872308,0.171579532
"AFG","2026","g/p/d","base","Protein",107.043905337641,107.1171575
"AFG","2026","g/p/d","high","Omega-3 fatty acids",0.176955671794751,0.171469151
"AFG","2026","g/p/d","high","Protein",107.145607571996,107.222206956
"AFG","2026","mg/p/d","base","Calcium",670.313057751361,670.241960668
"AFG","2026","mg/p/d","base","Iron",38.5785852053795,38.578346584
"AFG","2026","mg/p/d","base","Zinc",9.89357360528432,9.887559039
"AFG","2026","mg/p/d","high","Calcium",670.949153320539,670.890229577
"AFG","2026","mg/p/d","high","Iron",38.6093899907181,38.609496671
"AFG","2026","mg/p/d","high","Zinc",9.90338604334723,9.89737989
"AFG","2026","mg/p/d retinol","base","Vitamin A",414.321943260267,414.428823833
"AFG","2026","mg/p/d retinol","high","Vitamin A",414.769142247861,414.885877402
"AFG","2026","ug/p/d","base","Vitamin B12",4.11744632476244,4.112357967
"AFG","2026","ug/p/d","high","Vitamin B12",4.12314266548193,4.118406393
"AFG","2027","g/p/d","base","Omega-3 fatty acids",0.178449059273041,0.173024752
"AFG","2027","g/p/d","base","Protein",107.146628260476,107.220737462
"AFG","2027","g/p/d","high","Omega-3 fatty acids",0.178329753431653,0.172914204
"AFG","2027","g/p/d","high","Protein",107.256044998031,107.333940256
"AFG","2027","mg/p/d","base","Calcium",674.403404130937,674.339472959
"AFG","2027","mg/p/d","base","Iron",38.5855844693105,38.585527781
"AFG","2027","mg/p/d","base","Zinc",9.90223876453561,9.896300717
"AFG","2027","mg/p/d","high","Calcium",675.083979581213,675.033821612
"AFG","2027","mg/p/d","high","Iron",38.6186600300022,38.618994004
"AFG","2027","mg/p/d","high","Zinc",9.91280303723241,9.906874577
"AFG","2027","mg/p/d retinol","base","Vitamin A",416.819069812689,416.92977864
"AFG","2027","mg/p/d retinol","high","Vitamin A",417.301708803503,417.423565442
"AFG","2027","ug/p/d","base","Vitamin B12",4.13711907818898,4.132274353
"AFG","2027","ug/p/d","high","Vitamin B12",4.14328516633262,4.138838834
"AFG","2028","g/p/d","base","Omega-3 fatty acids",0.179800346278136,0.174444321
"AFG","2028","g/p/d","base","Protein",107.284127677656,107.358330157
