"iso3c","year","units","scenario","nutrient","nutrient_supply_dis","nutrient_supply"
"AFG","2021","mg/p/d","high","Iron",19.4056300930488,19.400028061
"AFG","2021","mg/p/d","high","Zinc",4.95452521064686,4.944185836
"AFG","2021","mg/p/d retinol","base","Vitamin A",202.743550690732,203.014713537
"AFG","2021","mg/p/d retinol","high","Vitamin A",202.867797943301,203.141919184
"AFG","2021","ug/p/d","base","Vitamin B12",1.96189188496212,1.954412615
"AFG","2021","ug/p/d","high","Vitamin B12",1.96356438424933,1.95598587
"AFG","2022","g/p/d","base","Omega-3 fatty acids",0.0851963206763894,0.079689813
"AFG","2022","g/p/d","base","Protein",53.6024395849339,53.585569763
"AFG","2022","g/p/d","high","Omega-3 fatty acids",0.0852174286757402,0.079620178
"AFG","2022","g/p/d","high","Protein",53.6362166490036,53.619001752
"AFG","2022","mg/p/d","base","Calcium",327.675265264601,326.57742
"AFG","2022","mg/p/d","base","Iron",19.4490872787744,19.44355637
"AFG","2022","mg/p/d","base","Zinc",4.96654508949601,4.956326959
"AFG","2022","mg/p/d","high","Calcium",327.936023651804,326.811712044
"AFG","2022","mg/p/d","high","Iron",19.458483780056,19.452857366
"AFG","2022","mg/p/d","high","Zinc",4.96994501122578,4.959563404
"AFG","2022","mg/p/d retinol","base","Vitamin A",204.243912237078,204.514758132
"AFG","2022","mg/p/d retinol","high","Vitamin A",204.39926834524,204.674352486
"AFG","2022","ug/p/d","base","Vitamin B12",1.97297273020985,1.965471388
"AFG","2022","ug/p/d","high","Vitamin B12",1.97510971282526,1.967466138
"AFG","2023","g/p/d","base","Omega-3 fatty acids",0.0861232483969823,0.080614591
"AFG","2023","g/p/d","base","Protein",53.7610920749308,53.744159296
"AFG","2023","g/p/d","high","Omega-3 fatty acids",0.0861837609733242,0.080557532
"AFG","2023","g/p/d","high","Protein",53.8017145834836,53.784326501
"AFG","2023","mg/p/d","base","Calcium",330.232899408801,329.126825168
"AFG","2023","mg/p/d","base","Iron",19.4960750972371,19.490543933
"AFG","2023","mg/p/d","base","Zinc",4.98074269634306,4.970523712
"AFG","2023","mg/p/d","high","Calcium",330.526375072677,329.385118655
"AFG","2023","mg/p/d","high","Iron",19.5078834970913,19.502227935
"AFG","2023","mg/p/d","high","Zinc",4.98477946972078,4.974346623
