,countries,products,elements,country_codes,,product_codes,,ele_codes,,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021,_2022,_2023,_2024,_2025,_2026,_2027,_2028,_2029,_2030
AGO_RI_FO..PC,Angola,Pulses,Per-capita food consumption [kg/p/d],7,AGO,4,RI,211,FO..PC,14.49365735,14.93319918,15.15783095,15.49897544,15.5400471,15.6261683,15.96932182,16.03736398,16.11675704,16.24868515,16.66128396,16.82515456,16.9180659,16.97290433,17.1764751,17.37027346,17.5659629,17.76967788,17.97609069,18.18802046,18.39837994
AGO_RT_FO..PC,Angola,Rice and products,Per-capita food consumption [kg/p/d],7,AGO,5,RT,211,FO..PC,53.95852037,52.72402896,66.96261419,67.27069559,69.07990033,68.07536053,66.08610503,63.23623112,62.10485469,61.04984302,60.67841943,60.4251777,60.52665624,60.2948083,60.20046603,60.12088969,60.04057474,60.03101353,60.04289112,60.10749571,60.24621415
AGO_SB_FO..PC,Angola,Roots and Tubers,Per-capita food consumption [kg/p/d],7,AGO,9,SB,211,FO..PC,0.145474815,0.140372482,0.135463804,0.130762965,0.126283843,0.122028171,0.117987207,0.114141752,0.110469791,0.106948105,0.103560433,0.100300095,0.097164479,0.094148623,0.091248489,0.088459881,0.085777991,0.083198117,0.080716431,0.078329318,0.076033249
AGO_SH_FO..PC,Angola,Soybeans,Per-capita food consumption [kg/p/d],7,AGO,15,SH,211,FO..PC,0.70458121,0.71432694,0.711767876,0.67277765,0.633516111,0.791150684,0.79162391,0.810384561,0.790987284,0.768752789,0.767317229,0.762031144,0.759169362,0.755739354,0.752073283,0.748476176,0.744661606,0.741144871,0.738057029,0.734641915,0.731144322
AGO_SU_FO..PC,Angola,Sugar,Per-capita food consumption [kg/p/d],7,AGO,7,SU,211,FO..PC,9.908766414,10.01927235,10.73592056,10.53992488,11.6125156,11.05346661,11.39932573,11.78209952,11.79699568,11.92425591,12.05531881,12.21173315,12.37862342,12.51978653,12.65977924,12.81105461,12.98376518,13.1494798,13.30304452,13.46328212,13.62072387
AGO_VL_FO..PC,Angola,Vegetable Oils,Per-capita food consumption [kg/p/d],7,AGO,12,VL,211,FO..PC,5.3501517,5.621485277,5.659258716,5.562251461,5.950110676,5.703550941,5.685433008,5.568143618,5.492322627,5.408754673,5.46650243,5.46855872,5.474535135,5.485260325,5.48574036,5.478958204,5.471658344,5.462661444,5.451108898,5.437766061,5.420990611
AGO_WT_FO..PC,Angola,Wheat and products,Per-capita food consumption [kg/p/d],7,AGO,2,WT,211,FO..PC,20.60373406,20.80296411,20.97181801,21.74942354,21.62070301,21.68028449,22.03810994,22.09394754,21.40198977,21.13119721,21.13798121,21.17084443,21.19196761,21.20057819,21.21832099,21.23560703,21.25194425,21.26923783,21.2862325,21.30240562,21.31825684
ALB_BT_FO..PC,Albania,Bovine,Per-capita food consumption [kg/p/d],3,ALB,19,BT,211,FO..PC,1.645948419,1.768659907,1.481874686,1.57468765,1.806748401,1.371870371,1.509289187,1.783733097,1.493819048,1.623658423,1.647626667,1.638936404,1.631406645,1.62499941,1.617553513,1.610835991,1.603993795,1.597243782,1.59052223,1.58368796,1.576786299
ALB_BV_FO..PC,Albania,Butter,Per-capita food consumption [kg/p/d],3,ALB,14,BV,211,FO..PC,10.80686209,10.68166148,9.123391391,8.186588769,9.326609144,10.57971841,9.944892712,9.55482938,9.914482831,10.32057245,10.32327796,10.30602326,10.31051722,10.3049541,10.28599182,10.25991945,10.22651448,10.19415217,10.16696703,10.14099469,10.11857507
ALB_CN_FO..PC,Albania,Coconuts,Per-capita food consumption [kg/p/d],3,ALB,11,CN,211,FO..PC,0.340075338,0.341686552,0.342461172,0.342585655,0.342374895,0.342073066,0.341722869,0.341275146,0.340789462,0.340318023,0.339900906,0.339581179,0.3393811,0.339288863,0.339277931,0.339329058,0.339448855,0.339656844,0.339960996,0.340372122,0.340899141
