"iso3","country","nutrient","sev_base","sev_high","sev_delta"
"BRB","Barbados","Vitamin A",13.0992869525979,13.3774171958826,0.278130243284756
"BRB","Barbados","Vitamin B-12",0.00286191245162718,0.00124598888438338,-0.00161592356724379
"BRB","Barbados","Zinc",2.63700963599424,2.24206441362556,-0.394945222368681
"BRN","Brunei","Calcium",76.4249508110774,75.1257369300745,-1.29921388100288
"BRN","Brunei","DHA+EPA fatty acids",0,0,0
"BRN","Brunei","Iron",0.00417940959673606,0.00344078655371637,-0.000738623043019691
"BRN","Brunei","Vitamin A",10.0428498245549,10.2819997915423,0.239149966987423
"BRN","Brunei","Vitamin B-12",3.71950385504724e-07,8.95464265358133e-08,-2.82403958968911e-07
"BRN","Brunei","Zinc",0.275159185630233,0.254387209289308,-0.0207719763409252
"BTN","Bhutan","Calcium",99.2289723982181,99.2187565874783,-0.0102158107398697
"BTN","Bhutan","DHA+EPA fatty acids",59.8216240141097,57.2739635375421,-2.54766047656758
"BTN","Bhutan","Iron",85.2631106781456,85.2206791732623,-0.0424315048833012
"BTN","Bhutan","Vitamin A",92.6179748055985,92.6168861335457,-0.00108867205279282
"BTN","Bhutan","Vitamin B-12",84.0544935544164,83.7586522606345,-0.29584129378189
"BTN","Bhutan","Zinc",88.5654108938075,88.5134241108194,-0.051986782988045
"BWA","Botswana","Calcium",89.8984035143024,89.8545625899506,-0.0438409243518272
"BWA","Botswana","DHA+EPA fatty acids",84.70591548816,84.2596576044794,-0.446257883680586
"BWA","Botswana","Iron",4.32583711018268,4.30525043071949,-0.0205866794631883
"BWA","Botswana","Vitamin A",27.3358634884234,27.3188278653755,-0.0170356230479773
"BWA","Botswana","Vitamin B-12",0.000718370946620392,0.000668283406839744,-5.00875397806472e-05
"BWA","Botswana","Zinc",3.6532365554611,3.62021032818549,-0.0330262272756111
"CAF","Central African Republic","Calcium",97.7144806309504,97.7039809481751,-0.0104996827752796
"CAF","Central African Republic","DHA+EPA fatty acids",71.505642178593,70.0746464901842,-1.43099568840881
"CAF","Central African Republic","Iron",92.0246496813445,91.9810115530107,-0.0436381283338285
"CAF","Central African Republic","Vitamin A",44.9156994047814,44.8602478766822,-0.0554515280991891
"CAF","Central African Republic","Vitamin B-12",0.000779512305516666,0.000702231008706986,-7.72812968096766e-05
"CAF","Central African Republic","Zinc",88.6333078149771,88.5295820762155,-0.103725738761605
"CAN","Canada","Calcium",70.973119677525,70.7847096990892,-0.18840997843574
"CAN","Canada","DHA+EPA fatty acids",0,0,0
"CAN","Canada","Iron",0.404590379923583,0.398384212489101,-0.00620616743448277
"CAN","Canada","Vitamin A",11.0813959220499,11.4399722611626,0.358576339112762
"CAN","Canada","Vitamin B-12",2.99819594436715,2.54213576266144,-0.456060181705715
"CAN","Canada","Zinc",0.0131762178832443,0.0128862208264849,-0.000289997056759354
"CHE","Switzerland","Calcium",60.1932719115222,60.1275914335165,-0.0656804780056765
"CHE","Switzerland","DHA+EPA fatty acids",20.3564631607475,19.9399226931949,-0.416540467552576
"CHE","Switzerland","Iron",2.37665614020623,2.36265658842443,-0.0139995517817905
"CHE","Switzerland","Vitamin A",1.29841422657392,1.29882731381924,0.000413087245320202
"CHE","Switzerland","Vitamin B-12",1.77948980527393e-06,1.84926863588923e-06,6.97788306153069e-08
"CHE","Switzerland","Zinc",0.0263938781376587,0.0261028337478121,-0.000291044389846522
"CHL","Chile","Calcium",92.4865564701893,92.187995396177,-0.298561074012303
"CHL","Chile","DHA+EPA fatty acids",25.5350506482343,23.364664976171,-2.17038567206334
"CHL","Chile","Iron",0.620203224347782,0.607440271955304,-0.0127629523924786
"CHL","Chile","Vitamin A",11.0548200545671,11.2047302545913,0.149910200024255
"CHL","Chile","Vitamin B-12",8.51390940388667e-06,4.87486860987237e-06,-3.63904079401432e-06
"CHL","Chile","Zinc",0,0,0
"CHN","China","Calcium",49.8832634935722,48.3756720353127,-1.50759145825948
"CHN","China","DHA+EPA fatty acids",1.07817983533523,0.881185167344847,-0.196994667990379
"CHN","China","Iron",1.36369185889819,1.30495565384345,-0.0587362050547432
"CHN","China","Vitamin A",4.63841442570667e-12,1.51718854173837e-11,1.0533470991677e-11
"CHN","China","Vitamin B-12",2.60027379044165e-06,9.43110230971101e-07,-1.65716355947055e-06
"CHN","China","Zinc",0.0353623148441794,0.0351958347338548,-0.000166480110324596
"CIV","Côte d’Ivoire","Calcium",99.4209419871191,99.3816255770457,-0.039316410073366
"CIV","Côte d’Ivoire","DHA+EPA fatty acids",36.85556383455,32.8462435275212,-4.00932030702879
"CIV","Côte d’Ivoire","Iron",42.3266566154718,41.5454672377145,-0.781189377757257
"CIV","Côte d’Ivoire","Vitamin A",40.515871086278,40.5056335096796,-0.0102375765984499
"CIV","Côte d’Ivoire","Vitamin B-12",8.23142658419332e-06,3.91667637744759e-06,-4.31475020674571e-06
"CIV","Côte d’Ivoire","Zinc",56.4274281994364,55.3923066051763,-1.0351215942601
"CMR","Cameroon","Calcium",93.3743304032563,92.9658588325402,-0.408471570716124
"CMR","Cameroon","DHA+EPA fatty acids",13.3647351404677,11.1678601473565,-2.1968749931112
"CMR","Cameroon","Iron",1.69802010200254,1.59938943110328,-0.0986306708992556
"CMR","Cameroon","Vitamin A",48.5349243510509,48.5193975720061,-0.0155267790448205
"CMR","Cameroon","Vitamin B-12",35.3673550447109,32.9861134321993,-2.38124161251158
"CMR","Cameroon","Zinc",0.284257418350822,0.253632111884087,-0.0306253064667359
"COD","Congo - Kinshasa","Calcium",99.187781235454,99.1843511224267,-0.00343011302729828
"COD","Congo - Kinshasa","DHA+EPA fatty acids",79.5960813321482,78.9554453962198,-0.640635935928352
"COD","Congo - Kinshasa","Iron",99.0655023131035,99.0601900129294,-0.00531230017414366
"COD","Congo - Kinshasa","Vitamin A",90.7630476527357,90.7625061748951,-0.000541477840593885
"COD","Congo - Kinshasa","Vitamin B-12",88.4968701599085,88.4237582186932,-0.0731119412153376
"COD","Congo - Kinshasa","Zinc",99.42355802942,99.4219928663407,-0.00156516307930055
"COG","Congo - Brazzaville","Calcium",95.4428411099087,95.0439532445301,-0.398887865378611
"COG","Congo - Brazzaville","DHA+EPA fatty acids",6.7106290683352,3.46113499718633,-3.24949407114886
"COG","Congo - Brazzaville","Iron",68.7240620747037,67.0600523922819,-1.66400968242184
"COG","Congo - Brazzaville","Vitamin A",71.845895359787,71.8093099632992,-0.0365853964877976
"COG","Congo - Brazzaville","Vitamin B-12",0.46542426567976,0.30774817946656,-0.157676086213201
"COG","Congo - Brazzaville","Zinc",91.7452896445991,91.4587675799583,-0.286522064640862
"COL","Colombia","Calcium",84.2515494234257,84.0447478975784,-0.206801525847322
"COL","Colombia","DHA+EPA fatty acids",53.2699410937266,51.1740464978121,-2.09589459591448
"COL","Colombia","Iron",9.01046845752141,8.99877634073616,-0.011692116785252
"COL","Colombia","Vitamin A",0.00809327131745441,0.00892314924913841,0.000829877931684001
"COL","Colombia","Vitamin B-12",0,0,0
"COL","Colombia","Zinc",0.000897587629712686,0.000916314033659855,1.87264039471684e-05
"COM","Comoros","Calcium",99.0856532710686,99.0760060921559,-0.00964717891262659
"COM","Comoros","DHA+EPA fatty acids",37.1812062843891,34.7114140528572,-2.46979223153192
"COM","Comoros","Iron",94.2476291928575,94.1668020965021,-0.0808270963554555
"COM","Comoros","Vitamin A",90.7488015717596,90.7475181286512,-0.00128344310845172
"COM","Comoros","Vitamin B-12",67.8666447796397,66.4565104023362,-1.4101343773035
"COM","Comoros","Zinc",94.0550019259767,93.9945540921068,-0.0604478338698577
"CPV","Cape Verde","Calcium",93.8458349086192,93.6339985227861,-0.211836385833101
"CPV","Cape Verde","DHA+EPA fatty acids",31.1630301457635,27.2933998008385,-3.86963034492498
"CPV","Cape Verde","Iron",6.24977374468829,6.08562289727696,-0.164150847411341
"CPV","Cape Verde","Vitamin A",11.8639961345468,11.8235084439117,-0.0404876906350959
"CPV","Cape Verde","Vitamin B-12",2.21021465227349,1.31031094661484,-0.899903705658653
"CPV","Cape Verde","Zinc",4.08500978746271,3.92694146021951,-0.158068327243206
"CRI","Costa Rica","Calcium",61.4346798319995,60.9507612305473,-0.483918601452231
"CRI","Costa Rica","DHA+EPA fatty acids",14.1140735945079,9.96338304566734,-4.15069054884053
"CRI","Costa Rica","Iron",8.1307575588558,7.89816926242796,-0.232588296427852
"CRI","Costa Rica","Vitamin A",36.128739090625,36.4152906600071,0.286551569382025
"CRI","Costa Rica","Vitamin B-12",0.00677377364427025,0.00464616893841903,-0.00212760470585121
