"iso3","country","nutrient_label","base","high","diff","pdiff"
"GHA","Ghana","Zinc (mg/p/d)",11.7771615507394,11.8485100944886,0.0713485437492736,0.605821219670663
"GIN","Guinea","Calcium (mg/p/d)",374.031600346399,376.969844128347,2.93824378194836,0.785560305393231
"GIN","Guinea","DHA+EPA fatty acids (g/p/d)",0.371259824444106,0.388095425693853,0.016835601249747,4.53472208444727
"GIN","Guinea","Iron (mg/p/d)",17.2898966788157,17.3583156549323,0.0684189761165896,0.395716512293677
"GIN","Guinea","Protein (g/p/d)",65.9307706446999,66.3896856941224,0.458915049422572,0.696055946161557
"GIN","Guinea","Vitamin A, RAE (mg/p/d retinol)",580.201244682234,580.755292610033,0.554047927799161,0.0954923714620094
"GIN","Guinea","Vitamin B12 (ug/p/d)",5.7644039553095,5.84667496567739,0.0822710103678901,1.42722493089874
"GIN","Guinea","Zinc (mg/p/d)",12.2361511188182,12.2817146860098,0.0455635671915662,0.372368457606683
"GMB","Gambia","Calcium (mg/p/d)",428.828874960135,431.885301935481,3.0564269753462,0.712738146569615
"GMB","Gambia","DHA+EPA fatty acids (g/p/d)",0.342074141726768,0.357674716870215,0.015600575143447,4.56058299662651
"GMB","Gambia","Iron (mg/p/d)",41.636141617832,41.7065817523103,0.0704401344782895,0.169180264407885
"GMB","Gambia","Protein (g/p/d)",73.6620849178915,74.1160667787886,0.453981860897116,0.6163033009494
"GMB","Gambia","Vitamin A, RAE (mg/p/d retinol)",154.363923245459,154.630883998419,0.266960752959704,0.172942451414118
"GMB","Gambia","Vitamin B12 (ug/p/d)",3.32139308748109,3.39345364836258,0.0720605608814902,2.1695884523003
"GMB","Gambia","Zinc (mg/p/d)",15.2297849207222,15.2703438424321,0.0405589217099163,0.26631316148615
"GNB","Guinea-Bissau","Calcium (mg/p/d)",229.410136727176,229.604224901517,0.194088174340862,0.0846031379039193
"GNB","Guinea-Bissau","DHA+EPA fatty acids (g/p/d)",0.0123337426382262,0.0129108276900251,0.0005770850517989,4.67891270902905
"GNB","Guinea-Bissau","Iron (mg/p/d)",25.5285716226991,25.544635870143,0.0160642474438824,0.0629265423906389
"GNB","Guinea-Bissau","Protein (g/p/d)",54.8957585535265,54.9684401850853,0.0726816315588152,0.132399357389235
"GNB","Guinea-Bissau","Vitamin A, RAE (mg/p/d retinol)",210.730181210924,210.927371499758,0.197190288833895,0.093574773058503
"GNB","Guinea-Bissau","Vitamin B12 (ug/p/d)",2.31201694240903,2.317072642259,0.00505569984997045,0.218670536414954
"GNB","Guinea-Bissau","Zinc (mg/p/d)",11.5330940239048,11.5431315889936,0.0100375650887958,0.0870327170487889
"GRC","Greece","Calcium (mg/p/d)",946.636743801005,949.939147525452,3.30240372444689,0.348856490736546
"GRC","Greece","DHA+EPA fatty acids (g/p/d)",0.446083669918295,0.466574763628222,0.020491093709927,4.59355387604306
"GRC","Greece","Iron (mg/p/d)",18.1548273541432,18.214254407069,0.059427052925848,0.327334718015294
"GRC","Greece","Protein (g/p/d)",101.781272343848,102.28717179704,0.505899453191901,0.497045715328472
"GRC","Greece","Vitamin A, RAE (mg/p/d retinol)",703.057948775454,702.945685669433,-0.112263106021487,-0.0159678311321308
"GRC","Greece","Vitamin B12 (ug/p/d)",6.83236957754998,6.90179888207237,0.0694293045223899,1.01618192245518
"GRC","Greece","Zinc (mg/p/d)",11.1315608467688,11.1661359375754,0.0345750908066726,0.310604157697336
